GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,36,118,15,13,13,26,14,4,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,12,92,3,3,6,24,3,4,0,4
